percentile	Dtr	Dbulk	Haven	tracerMSD	reduced_conductivity
0.00	0.167793761629	0.167793761629	1	20.1352513955	6.21458376405e-06
0.05	0.156297363492	0.158719855644	1.01549925154	18.755683619	0.0078148681746
0.10	0.146145893896	0.149379071269	1.02212294363	17.5375072676	0.0146145893896
0.15	0.136202002152	0.142844843633	1.04877198115	16.3442402582	0.0204303003228
0.20	0.126339985336	0.134901051813	1.06776212973	15.1607982404	0.0252679970673
0.25	0.116683614564	0.122968818744	1.05386535379	14.0020337476	0.0291709036409
0.30	0.107195349459	0.114266291685	1.06596314356	12.8634419351	0.0321586048377
0.35	0.0979178130194	0.108168380157	1.10468541751	11.7501375623	0.0342712345568
0.40	0.0888759200101	0.10023767967	1.12783844779	10.6651104012	0.035550368004
0.45	0.0800711449638	0.0907871904492	1.13383155056	9.60853739565	0.0360320152337
0.50	0.0714441154923	0.0832619426123	1.16541358289	8.57329385907	0.0357220577461
0.55	0.0630829563158	0.076086681188	1.20613689706	7.56995475789	0.0346956259737
0.60	0.0549491828809	0.0660858316181	1.2026717806	6.5939019457	0.0329695097285
0.65	0.047097867104	0.0580168459076	1.23183595086	5.65174405248	0.0306136136176
0.70	0.0395103936321	0.050122777749	1.26859727634	4.74124723585	0.0276572755425
0.75	0.0321979035655	0.0418932071553	1.30111598943	3.86374842786	0.0241484276741
0.80	0.0251648982555	0.0329770876436	1.31043993537	3.01978779066	0.0201319186044
0.85	0.0184229846121	0.0249402224988	1.35375581231	2.21075815346	0.0156595369203
0.90	0.0119793376353	0.0164711750822	1.37496542661	1.43752051623	0.0107814038717
0.95	0.00583424179421	0.00843304782003	1.44544023328	0.700109015305	0.0055425297045
1.00	0	0	NaN	0	0
