percentile	Dtr	Dbulk	Haven	f_tr	f_col	reduced_conductivity
0.00	0.16516576299	0.16516576299	1	0.99099457794	0.99099457794	5.505525433e-05
0.05	0.156633512957	0.160396749654	1.02402574408	0.989073491783	1.01283671837	0.00783167564786
0.10	0.146416192598	0.154398186867	1.05451578905	0.975731030691	1.02892377773	0.0146416192598
0.15	0.136138236974	0.140691090022	1.03344286769	0.960802337981	0.992934323449	0.0204207355462
0.20	0.126415914714	0.133301879159	1.05447070853	0.947819940837	0.999448364576	0.0252831829429
0.25	0.116832002383	0.124274672376	1.0637040352	0.934363359932	0.993886076304	0.0292080005958
0.30	0.107197339063	0.116325475162	1.08515263699	0.91846104412	0.996670423997	0.0321592017189
0.35	0.0979300418286	0.108208028416	1.10495233531	0.90371904517	0.998566469428	0.03427551464
0.40	0.0889187713553	0.099961386438	1.12418767055	0.888946282771	0.999342450871	0.0355675085421
0.45	0.0800634599172	0.0932062606013	1.16415479293	0.87301251015	1.01632169798	0.0360285569628
0.50	0.0714703767432	0.0828081657697	1.15863620066	0.857517857416	0.993551232317	0.0357351883716
0.55	0.0630927945549	0.073885445055	1.17105995346	0.840967256909	0.984823076736	0.0347010370052
0.60	0.0549653477581	0.0661619172693	1.20370233189	0.824072914638	0.991938488994	0.0329792086548
0.65	0.0471150615867	0.0575878253394	1.22228059139	0.807271272577	0.986712008456	0.0306247900313
0.70	0.039537211045	0.0502489978732	1.27092924729	0.790260195774	1.00436479578	0.0276760477315
0.75	0.0321881831392	0.0408782369152	1.26997652332	0.77246076664	0.98100703882	0.0241411373544
0.80	0.0251698412063	0.0340581532093	1.35313341591	0.754948991036	1.02154670708	0.0201358729651
0.85	0.0184310296736	0.0250747028969	1.36046131664	0.73678367172	1.00236568411	0.0156663752226
0.90	0.0119821260474	0.0164975159696	1.37684380087	0.718649116247	0.989467580707	0.0107839134427
0.95	0.00583520439521	0.00822951013783	1.4103208012	0.700030302058	0.987267296463	0.00554344417545
1.00	0	0	NaN	NaN	NaN	0
