percentile	Dbulk
0.00	0.162929566176
0.05	0.160432438299
0.10	0.155742877826
0.15	0.141405189613
0.20	0.133276510091
0.25	0.126931633313
0.30	0.11612406556
0.35	0.108431367659
0.40	0.0979962339711
0.45	0.0931402924129
0.50	0.0816657781266
0.55	0.0753124964931
0.60	0.0653738988852
0.65	0.0556527582369
0.70	0.0487717696251
0.75	0.0411907053443
0.80	0.0329996644473
0.85	0.0252352516623
0.90	0.01568147529
0.95	0.00819691992433
1.00	0
