percentile	Dtr
0.00	0.16684032996
0.05	0.156423800282
0.10	0.146082307619
0.15	0.136221827645
0.20	0.126450379023
0.25	0.116683951112
0.30	0.107193024566
0.35	0.0979547068001
0.40	0.0888928769446
0.45	0.080036841604
0.50	0.071437699654
0.55	0.0631310781731
0.60	0.0549620654758
0.65	0.0471070756184
0.70	0.0395191824785
0.75	0.0321865401877
0.80	0.0251707629914
0.85	0.0184335398841
0.90	0.0119760507584
0.95	0.00583817466311
1.00	0
